Temp	s_xy	_xz	s_yz 
   364.94314    379.50124    909.46974    -1211.798 
   361.30058    570.96436    904.35078   -1340.7054 
   358.42933    785.29845    879.95897   -1435.3605 
   356.42508    1009.4793    834.49616   -1489.9113 
   355.37305    1225.6583    771.12822   -1505.8205 
   355.35756       1414.6    694.53858   -1487.8826 
   356.46278    1557.6106    609.74296   -1447.9927 
   358.76193    1641.0517    526.15995   -1400.9208 
   362.29678    1658.7074    450.42226   -1360.9473 
   367.05124    1611.8461    388.58572   -1340.9082 
   372.92613    1505.8828    348.30608   -1348.5612 
   379.72411    1352.6045     332.4665    -1387.779 
   387.14734    1162.5822    343.53244   -1456.1755 
   394.80939     946.8123    380.38463   -1547.8563 
   402.26453    715.17423    440.08262   -1653.0022 
   409.04373    472.74305      515.401   -1764.0325 
   414.69724    226.62125    595.51049   -1876.6607 
   418.83805   -19.834868    673.12905   -1987.8128 
   421.17717    -261.0887    739.90143    -2097.688 
   421.55003   -491.55384    790.42172   -2208.2364 
   419.92734   -701.64111    824.30747   -2321.0126 
   416.41302   -883.25531    844.01009   -2435.4877 
   411.22756   -1026.8258    857.34681   -2549.9661 
   404.68276    -1128.976    869.81438   -2658.9271 
   397.14907   -1190.0997     890.4318   -2756.2698 
   389.02296   -1216.4539    925.91845   -2835.2057 
   380.69456   -1218.1767    977.96392   -2889.5174 
   372.52361   -1206.1975    1045.6838   -2915.1506 
   364.82472   -1192.5046    1121.7703   -2907.1695 
   357.85944   -1182.7277    1198.8937   -2865.1663 
   351.83695   -1179.6744    1265.0547   -2789.2754 
   346.91539   -1182.6318    1310.1642    -2680.258 
   343.20371   -1187.8248    1322.7659   -2538.3845 
    340.7597   -1191.9085    1294.4755   -2365.9253 
   339.58403    -1189.451    1220.9649   -2164.8679 
   339.61594   -1178.4825    1098.7663   -1939.5471 
    340.7334   -1157.2207    930.78605   -1693.9656 
   342.76334   -1124.4068    722.17899   -1435.4252 
   345.50064   -1077.9746    481.04105   -1167.8624 
    348.7341   -1018.1765    218.15361   -898.22017 
   352.27504   -944.61251    -55.61446   -632.25378 
    355.9826   -859.02419   -330.06241   -374.27117 
   359.78028    -764.9191   -593.87361   -129.91179 
   363.65791   -668.79281   -837.71234    94.444189 
   367.65763   -575.37832   -1054.2488    297.12277 
   371.84846   -489.09582     -1237.84    476.30936 
   376.29221   -414.46408    -1384.727    633.85534 
   381.01055   -353.30152   -1495.1692    773.07216 
   385.95747   -306.41892   -1570.6245    900.25455 
   391.00715   -272.28691   -1612.4618     1022.216 
   395.95679   -247.51571   -1626.5758    1150.2008 
   400.54626   -227.79544    -1619.514    1291.5865 
   404.49153   -209.35326   -1597.8282    1453.0989 
   407.52502   -187.97478   -1570.1948    1638.9484 
    409.4365   -161.93679   -1544.7148    1846.5033 
   410.10603   -131.71487   -1527.3896    2069.1548 
   409.52078    -102.7944   -1520.9511    2298.4638 
   407.77434   -80.599321   -1523.9428    2520.1903 
   405.05056   -75.482361    -1530.987    2724.2055 
   401.59742   -96.963449   -1530.7479    2900.8587 
   397.69967   -152.71275   -1511.7453    3041.8528 
   393.65452   -246.84406   -1461.2031       3145.6 
   389.75046   -381.66639   -1370.7085    3210.1138 
    386.2493   -552.48144   -1235.6723     3237.375 
   383.36716   -755.07879   -1057.0834    3227.1957 
   381.25555   -979.20559   -839.17447    3180.3608 
   379.98565   -1214.1793   -588.09463    3096.2245 
   379.53708   -1447.7481    -310.2003    2973.0449 
   379.79939   -1668.5927   -9.1948444    2809.4049 
    380.5849   -1865.6583    312.98754    2603.8624 
   381.65283   -2029.4197    657.11877    2356.4703 
   382.74174    -2152.327    1023.8858    2070.1999 
   383.60601   -2232.8027    1409.2155    1747.8554 
   384.04999   -2271.7461    1805.6054    1393.1894 
   383.95672   -2274.3012    2204.0764    1014.6635 
    383.3062   -2247.5841    2589.6799     619.9822 
   382.18062   -2198.5373    2948.3852    218.79694 
    380.7522   -2133.3001    3270.2279   -178.99173 
   379.25526   -2055.1254    3546.9187   -564.22466 
   377.94824   -1965.5017    3776.0517    -930.1392 
     377.074   -1864.3477    3959.4604   -1273.8733 
   376.82685   -1752.5414    4100.8449    -1593.781 
   377.33244   -1629.7463    4202.8231   -1890.0754 
   378.64046   -1497.7429    4271.7782    -2161.919 
   380.72511   -1355.5526    4309.7233   -2409.4993 
   383.49253   -1204.6573    4319.9327   -2630.5124 
   386.79214   -1046.9414    4306.0029    -2820.578 
   390.43366   -883.06295    4275.5218   -2973.7308 
   394.20714   -714.51052    4233.7631   -3084.0684 
   397.90712   -542.40908    4191.7224   -3146.9126 
    401.3564   -367.93167    4158.3554   -3160.8104 
   404.42437   -192.52825    4139.9269   -3126.5498 
   407.04006   -19.636443    4142.5017   -3050.2852 
   409.19608    147.75797    4167.8224   -2937.8827 
   410.94477    303.16546    4216.1656   -2795.3066 
   412.38777    441.31122    4283.1904   -2627.9971 
   413.66098    553.52927    4365.6928   -2438.3095 
   414.91526    634.34231    4457.7993   -2227.4782 
   416.29508    678.36782    4554.3336   -1995.7592 
   417.91895    683.49058    4648.5111   -1744.4175 
   419.86195    649.54884    4736.4258   -1476.1549 
   422.14553     580.3662    4813.4822   -1193.7883 
   424.73355    479.65828    4876.7504   -904.55712 
    427.5386    353.97613    4924.0676   -612.44101 
   430.43482    209.97639    4955.3679   -324.07149 
   433.27431    55.220735    4969.8284   -44.067332 
    435.9001   -102.91472    4966.1495    224.03258 
   438.15716   -259.72878    4943.2499    476.90446 
   439.90045   -408.90606    4897.9401    711.56065 
   441.00219   -549.03437    4829.5401     925.7332 
   441.36276   -676.34506    4734.2264    1116.9042 
   440.92422   -785.04338    4610.4123    1284.7035 
   439.68513   -869.84133     4457.825    1430.8249 
   437.70987   -923.38774    4275.1826     1559.757 
   435.13029   -939.83611    4062.0388     1676.811 
   432.13649   -911.95369    3818.7414    1789.0953 
   428.95801   -843.19982    3546.2099    1902.1197 
   425.84062   -739.35755    3247.6857    2015.7384 
   423.01844   -610.03398    2931.0094    2125.7506 
   420.69237   -469.40428    2604.8739    2225.3165 
     419.014   -330.81576    2281.2203    2306.5833 
   418.07754   -206.41793    1971.2276    2362.0044 
   417.91664   -104.35998    1685.7788    2386.2277 
   418.50308   -28.624586    1432.3064    2376.4834 
   419.74744    20.967718    1219.5514    2331.6643 
   421.50204    48.512149     1052.727    2255.6841 
   423.56734    61.872348    936.07088    2150.4783 
   425.70479    68.428056    869.40865     2020.385 
   427.65514    77.631879    853.93029    1868.4545 
   429.15874    98.110118    884.18535    1700.3215 
   429.97974    136.50927    948.81228    1518.4746 
   429.92683    196.03376    1035.0823    1325.0983 
   428.86953    280.03053    1124.6977    1123.6118 
   426.74823    388.99507    1198.4652    914.61559 
   423.57415     520.1347    1238.1516    698.72084 
   419.42258    672.77922    1227.4531    476.26777 
   414.41957    844.24916    1160.4232    248.43088 
    408.7338     1031.828    1032.6333    18.095567 
   402.57053    1230.7041     851.7299   -209.16941 
   396.17103    1435.3408    628.33572    -430.1554 
    389.8124    1638.1826    381.58479   -638.93476 
   383.80323    1828.6177     132.6721   -829.48133 
   378.47081    1994.7238   -96.779316    -995.0617 
   374.13861    2125.9168   -287.70398     -1131.17 
   371.10009    2210.5873   -424.53074   -1231.1232 
   369.59377    2240.1173   -501.08415   -1294.4281 
   369.77913    2209.9475    -514.6612   -1317.5411 
   371.72155    2119.5908   -470.80127   -1304.0652 
   375.38231    1973.7122   -381.53606   -1260.2888 
   380.61277     1780.887   -263.34023   -1196.6874 
   387.15663    1554.6525   -136.56596   -1122.0009 
   394.65954    1310.2311   -23.186587   -1045.7541 
   402.69279    1065.0518    55.902577   -974.11534 
   410.78991    836.93386    82.273583   -909.86351 
   418.49394    640.80666    47.714871   -853.53646 
   425.40614    488.99437   -46.256167   -805.61514 
   431.22548     386.2042   -188.58852   -765.90877 
   435.76472    329.86522   -359.89893   -741.79734 
   438.94601    310.80499   -534.70824   -735.09525 
   440.78292    318.95523   -687.66234   -749.21613 
   441.36319    342.95949   -796.95864   -783.03858 
   440.83756    376.68238   -848.09086   -829.64713 
    439.4151    413.19291     -832.883   -879.28834 
   437.35502    448.92863    -755.2004    -920.3937 
   434.94486    478.67304    -625.0298   -943.21168 
   432.46726    496.12391   -458.68671   -940.53478 
   430.15844    495.00397   -274.02093   -910.33766 
   428.17121    469.94338   -88.940164   -855.62128 
    426.5525    415.99347    85.177992   -783.69223 
   425.23743    329.71827    238.00554   -706.28293 
   424.06668    213.13935    364.71371   -637.26795 
   422.81876    70.625438    464.93227   -589.75942 
   421.25361   -90.237955     536.1238   -575.00736 
   419.16027   -260.03251    578.44463   -598.08843 
   416.39856   -426.95953    590.34839   -662.47624 
   412.92808    -580.9219    568.03068   -768.70746 
    408.8196   -714.64211    511.50057   -912.01437 
   404.24912   -822.60899    418.70166    -1086.862 
   399.47659   -907.66852    291.75093   -1286.5961 
   394.81559   -971.53158    133.82875   -1502.8262 
   390.60144   -1019.4171   -48.708488   -1724.3363 
   387.16048   -1055.8754   -249.10191   -1944.2897 
   384.78491   -1080.9024   -457.89204   -2153.2889 
   383.71482   -1094.0104   -666.57761   -2345.3126 
   384.12241   -1090.5699   -866.17441   -2514.2616 
   386.10163    -1064.927   -1048.9982   -2657.2599 
   389.65945   -1009.9404   -1208.0907   -2772.8364 
   394.71146   -921.71102   -1342.3903   -2861.4969 
    401.0803   -798.56842   -1449.9439   -2924.7174 
   408.49966   -647.81787    -1532.031   -2966.0426 
   416.62337   -478.13459   -1593.9297   -2987.2052 
   425.04277    -305.3395   -1640.8932   -2989.6001 
   433.31605   -144.86077   -1679.0716   -2972.7073 
   441.01165   -8.6683473   -1716.0576   -2931.3913 
   447.76236    94.051953   -1757.8945   -2860.3927 
   453.32082    164.68979   -1812.0987   -2753.3734 
   457.59694    209.74736   -1881.4643   -2608.8215 
   460.66433    243.55035   -1972.0816   -2428.0162 
   462.72723    282.14771   -2081.9649   -2215.6411 
   464.05938    337.23525   -2208.3514   -1979.0593 
   464.92828    416.61314    -2343.725   -1728.7762 
   465.52904    520.74029   -2478.3357   -1472.1067 
   465.93689    646.36219   -2602.6617   -1218.5279 
    466.0939    786.26368   -2706.0725   -976.80258 
   465.82494    934.41456   -2779.8733   -757.21697 
   464.88087    1083.2417   -2818.3412   -568.18351 
   462.99665    1231.3545   -2820.9366   -415.44163 
   459.95076    1377.0227   -2789.9967   -296.45045 
   455.61161     1523.997   -2729.2958   -205.26501 
   449.96273    1672.3656   -2645.0791   -127.30105 
   443.10529    1826.3581   -2546.0408    -48.10057 
   435.24304    1984.2478   -2439.7339    45.473506 
   426.65575    2143.1234   -2334.0604    161.85078 
   417.67158    2297.9507   -2240.0733    302.86515 
   408.64215    2442.1924   -2166.0812    466.13356 
   399.92232    2568.7825   -2119.4258    646.41636 
   391.85491    2671.4791   -2104.8869    839.64917 
   384.75629    2742.8587   -2122.9058     1042.421 
   378.89893    2777.7625   -2165.8862    1252.2973 
   374.49604    2772.4288   -2220.4107    1469.6587 
   371.68605    2726.3185   -2267.1784    1690.8184 
   370.51916    2643.3673    -2284.496    1915.6875 
   370.95095    2533.5223   -2255.6364    2140.7961 
   372.84089    2408.4825   -2167.8745    2361.5554 
   375.95906    2282.9988   -2017.3595    2569.5735 
   380.00227    2171.5951   -1809.4668    2754.9696 
   384.62241    2084.4611    -1554.311    2908.4215 
   389.45886    2027.0697   -1268.8321    3020.3187 
   394.17574    1998.2318   -972.92984    3082.2721 
    398.4928    1991.2814   -686.04297    3091.4124 
   402.21146    1996.2929   -428.82402     3047.158 
   405.23057     2003.191   -217.92613     2952.255 
    407.5533     2001.815   -61.439801    2813.1551 
   409.27786    1989.8494    40.509755    2636.7921 
   410.57265    1963.6911    98.196493     2428.594 
   411.64037    1925.7229    126.48776    2193.5294 
   412.68024    1878.0649    143.90499    1934.2293 
   413.85491    1820.4478    162.91759    1653.3097 
   415.26791    1747.9505    192.07907    1353.5102 
    416.9515    1654.8651    235.36388    1038.9541 
   418.86165    1534.2134    289.38997    715.71009 
   420.88061    1379.4504    346.65234    393.25702 
   422.82129    1185.9037    399.27885    83.748104 
   424.43884    954.06896    437.04879   -203.74136 
