# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
4.480800541223185253e-03 1.502721698442523006e-02 1.572813371237062441e+01 3.511356129220745692e-01 8.805960028689543417e-01 3.092086172041191849e-01
3.852345641691805236e-03 1.502721698442523006e-02 1.573583840365400732e+01 3.524194768501720532e-01 8.874069275598616136e-01 3.127394851638649609e-01
-1.327879312963562916e-02 1.502721698442523006e-02 1.570928081739473470e+01 3.536986806089852386e-01 8.641497359066669937e-01 3.056486214387911238e-01
2.535620139931686959e-02 1.502721698442523006e-02 1.575999322019336901e+01 3.549732745795448619e-01 9.091030572236710183e-01 3.227072891529618182e-01
-9.194154754655778361e-03 1.502721698442523006e-02 1.574160491068405676e+01 3.562433082415906727e-01 8.925389485426075131e-01 3.179610277632894388e-01
-3.197193540770360692e-02 1.502721698442523006e-02 1.567766103986864934e+01 3.575088301959840620e-01 8.372529890175856027e-01 2.993253366817681393e-01
1.039077059747379322e-02 1.502721698442523006e-02 1.569844258106359547e+01 3.587698881864098133e-01 8.548344486723643554e-01 3.066888595680755114e-01
1.724517371400473590e-03 1.502721698442523006e-02 1.570189161580639592e+01 3.600265291203927354e-01 8.577878927229410921e-01 3.088263977385362624e-01
7.557196877874895573e-03 1.502721698442523006e-02 1.571700600956214444e+01 3.612787990896573764e-01 8.708513108266552338e-01 3.146201157611079324e-01
4.790359860649334028e-03 1.502721698442523006e-02 1.572658672928344359e+01 3.625267433898539116e-01 8.792347889048338638e-01 3.187461246967350781e-01
6.150138159261578190e-03 1.502721698442523006e-02 1.573888700560196696e+01 3.637704065396757946e-01 8.901164060100091868e-01 3.237980068818961943e-01
5.468683647457416898e-03 1.502721698442523006e-02 1.574982437289688164e+01 3.650098322993902689e-01 8.999053712475187927e-01 3.284743086443774329e-01
9.640751324735097674e-03 1.502721698442523006e-02 1.576910587554635157e+01 3.662450636888052724e-01 9.174252611627202736e-01 3.360024732042592444e-01
-6.386663315324492968e-03 1.502721698442523006e-02 1.575633254891570090e+01 3.674761430046922794e-01 9.057812135720078039e-01 3.328529867695508848e-01
-2.486580442355527942e-02 1.502721698442523006e-02 1.570660094006858998e+01 3.687031118376857819e-01 8.618370209033764384e-01 3.177619915039955334e-01
-2.452573157665948259e-02 1.502721698442523006e-02 1.565754947691527121e+01 3.699260110886784525e-01 8.205827173189215173e-01 3.035548913860972586e-01
1.225361904345967888e-02 1.502721698442523006e-02 1.568205671500219012e+01 3.711448809847295305e-01 8.409413817110028555e-01 3.121110890302641327e-01
6.349733824868718235e-03 1.502721698442523006e-02 1.569475618265192907e+01 3.723597610945053038e-01 8.516889895883358319e-01 3.171347086899333756e-01
-1.247547711380185380e-02 1.502721698442523006e-02 1.566980522842432677e+01 3.735706903432669534e-01 8.307014549062823328e-01 3.103257159784961750e-01
-1.467781551481504333e-02 1.502721698442523006e-02 1.564044959739469576e+01 3.747777070274231903e-01 8.066701424017934663e-01 3.023219862968291038e-01
