# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
-1.140250638434059556e-02 8.432558466119309537e-03 1.315723794737074748e+01 1.788815782243500241e-01 2.300398007810053880e+00 4.114988261812131398e-01
9.175427446961826813e-03 8.432558466119309537e-03 1.317558880226467188e+01 1.796748485380531279e-01 2.343001992034496439e+00 4.209785280431548871e-01
6.540138890949616195e-03 8.432558466119309537e-03 1.318866908004657112e+01 1.804646318986366238e-01 2.373850422121523529e+00 4.283960426105838937e-01
1.061387511918444925e-03 8.432558466119309537e-03 1.319079185507040819e+01 1.812509738882759625e-01 2.378894924785775800e+00 4.311770218952988842e-01
-1.135241366070982930e-02 8.432558466119309537e-03 1.316808702774898876e+01 1.820339191046178862e-01 2.325491082967305889e+00 4.233182556753808390e-01
7.489014739629468349e-03 8.432558466119309537e-03 1.318306505722824795e+01 1.828135111902964571e-01 2.360584516126661203e+00 4.315467438545619872e-01
-3.163898037611129980e-03 8.432558466119309537e-03 1.317673726115302557e+01 1.835897928613209606e-01 2.345694379249763983e+00 4.306455452024289809e-01
-2.172989365369058963e-03 8.432558466119309537e-03 1.317239128242228752e+01 1.843628059343880021e-01 2.335522161500392269e+00 4.305834190161592079e-01
1.277874612672774343e-02 8.432558466119309537e-03 1.319794877467574246e+01 1.851325913531674527e-01 2.395981555399313123e+00 4.435742741854675764e-01
9.598349276628345824e-04 8.432558466119309537e-03 1.319986844453106833e+01 1.858991892136083734e-01 2.400585466546017344e+00 4.462668918688764697e-01
4.605251808309366798e-03 8.432558466119309537e-03 1.320907894814768646e+01 1.866626387883098814e-01 2.422798205894105550e+00 4.522459063637765952e-01
-2.703999663267260892e-03 8.432558466119309537e-03 1.320367094882115211e+01 1.874229785499983147e-01 2.409731080179079665e+00 4.516389765516679033e-01
-2.689519278536330743e-03 8.432558466119309537e-03 1.319829191026408033e+01 1.881802461941508020e-01 2.396803843009974955e+00 4.510311372567039068e-01
-5.116315304390465710e-03 8.432558466119309537e-03 1.318805927965529889e+01 1.889344786608026516e-01 2.372403288481465644e+00 4.482287784824195431e-01
4.286840442245736654e-03 8.432558466119309537e-03 1.319663296053979096e+01 1.896857121555742542e-01 2.392830962251309757e+00 4.538858451425477059e-01
6.846232095138966856e-03 8.432558466119309537e-03 1.321032542473006899e+01 1.904339821699516100e-01 2.425820050059330324e+00 4.619585721605096174e-01
-5.591777382601042894e-03 8.432558466119309537e-03 1.319914186996486727e+01 1.911793235008522884e-01 2.398841895695854376e+00 4.586089708046354740e-01
6.126831925665309278e-03 8.432558466119309537e-03 1.321139553381619791e+01 1.919217702695074912e-01 2.428417331575634552e+00 4.660661532291493492e-01
-6.930723254276979425e-03 8.432558466119309537e-03 1.319753408730764477e+01 1.926613559396893882e-01 2.394988178098838461e+00 4.614216698520485771e-01
-5.013682048961094935e-03 8.432558466119309537e-03 1.318750672320972228e+01 1.933981133353109283e-01 2.371092763855666696e+00 4.585648670726938936e-01
-8.266468265790138936e-03 8.432558466119309537e-03 1.317097378667814134e+01 1.941320746574245193e-01 2.332213914043388847e+00 4.527575256781554147e-01
9.074988612431351270e-03 8.432558466119309537e-03 1.318912376390300345e+01 1.948632715006445859e-01 2.374930019005085047e+00 4.627866330884188861e-01
1.019936496956144745e-02 8.432558466119309537e-03 1.320952249384212607e+01 1.955917348690174307e-01 2.423873065963982221e+00 4.740895380741795839e-01
1.362064883872435295e-02 8.432558466119309537e-03 1.323676379151957505e+01 1.963174951913611022e-01 2.490810100141808814e+00 4.889895998571832658e-01
3.674553566019991835e-03 8.432558466119309537e-03 1.324411289865161478e+01 1.970405823360968645e-01 2.509182759041348909e+00 4.944108320292016634e-01
-8.387201055187120877e-03 8.432558466119309537e-03 1.322733849654123972e+01 1.977610256255924737e-01 2.467443770468863207e+00 4.879642107214013924e-01
3.911440571726088750e-03 8.432558466119309537e-03 1.323516137768469214e+01 1.984788538500369404e-01 2.486821987733890627e+00 4.935815778544932475e-01
-9.329235243702141758e-03 8.432558466119309537e-03 1.321650290719728815e+01 1.991940952808652077e-01 2.440851892556093361e+00 4.862032844522986008e-01
-3.717511742824371190e-03 8.432558466119309537e-03 1.320906788371163998e+01 1.999067776837505916e-01 2.422771399146603777e+00 4.843284234677495137e-01
-9.102424911551058179e-03 8.432558466119309537e-03 1.319086303388853842e+01 2.006169283311818874e-01 2.379064257741366983e+00 4.772805636905761983e-01
1.384917936437855476e-03 8.432558466119309537e-03 1.319363286976141403e+01 2.013245740146409613e-01 2.385663009777591714e+00 4.802925891859598506e-01
-5.154090919925952315e-03 8.432558466119309537e-03 1.318332468792156220e+01 2.020297410563967611e-01 2.361197475889351249e+00 4.770321146369432830e-01
5.397959014489535357e-03 8.432558466119309537e-03 1.319412060595054115e+01 2.027324553209298164e-01 2.386826867767279925e+00 4.838872713284249616e-01
-3.451766796600825010e-03 8.432558466119309537e-03 1.318721707235734009e+01 2.034327422260017726e-01 2.370406074270451136e+00 4.822182078780095082e-01
1.318526796398935240e-02 8.432558466119309537e-03 1.321358760828531942e+01 2.041306267533830043e-01 2.433746441978032582e+00 4.968021865597916920e-01
5.973224054463450311e-03 8.432558466119309537e-03 1.322553405639424717e+01 2.048261334592513527e-01 2.462995430457619150e+00 5.044858307484384463e-01
1.534396583587989340e-04 8.432558466119309537e-03 1.322584093571096453e+01 2.055192864842740885e-01 2.463751388800452968e+00 5.063484275009084712e-01
5.831130238314953182e-03 8.432558466119309537e-03 1.323750319618759441e+01 2.062101095633848968e-01 2.492652497811782553e+00 5.140101446772127325e-01
2.100527830497228750e-03 8.432558466119309537e-03 1.324170425184858857e+01 2.068986260352670414e-01 2.503146296781754820e+00 5.178975295694118186e-01
-1.115305554699676195e-03 8.432558466119309537e-03 1.323947364073918997e+01 2.075848588515534221e-01 2.497568973575811313e+00 5.184575028517539597e-01
1.635777924307746031e-02 8.432558466119309537e-03 1.327218919922534468e+01 2.082688305857538502e-01 2.580629616831381590e+00 5.374647124724338809e-01
-4.518668216529161778e-03 8.432558466119309537e-03 1.326315186279228620e+01 2.089505634419192570e-01 2.557412666487718145e+00 5.343728176161098853e-01
-1.049154674214728029e-02 8.432558466119309537e-03 1.324216876930799103e+01 2.096300792630523269e-01 2.504309322041905261e+00 5.249785616788454901e-01
1.054700767506186118e-02 8.432558466119309537e-03 1.326326278465811548e+01 2.103073995392736595e-01 2.557696355205730576e+00 5.379024692743955560e-01
-3.266027809337609098e-04 8.432558466119309537e-03 1.326260957909624771e+01 2.109825454157517877e-01 2.556026199257903198e+00 5.392769136687819431e-01
-4.458097043439921206e-03 8.432558466119309537e-03 1.325369338500936855e+01 2.116555377004056548e-01 2.533337472429975090e+00 5.361949049037528781e-01
3.520368425762310238e-03 8.432558466119309537e-03 1.326073412186089229e+01 2.123263968713874350e-01 2.551236973826268795e+00 5.416949542175938381e-01
1.663832657752758667e-02 8.432558466119309537e-03 1.329401077501594663e+01 2.129951430843529669e-01 2.637561938936364037e+00 5.617878825775943774e-01
-1.009676511049911567e-02 8.432558466119309537e-03 1.327381724479494807e+01 2.136617961795277965e-01 2.584834421323765952e+00 5.522803652867062096e-01
1.538189109394222116e-03 8.432558466119309537e-03 1.327689362301373599e+01 2.143263756885749327e-01 2.592798593758860015e+00 5.557051254907702242e-01
-3.091869194898395727e-03 8.432558466119309537e-03 1.327070988462393863e+01 2.149889008412718960e-01 2.576814876054920322e+00 5.539865978744856756e-01
-2.338578785120861130e-03 8.432558466119309537e-03 1.326603272705369641e+01 2.156493905720030524e-01 2.564790847907003624e+00 5.530955832957963336e-01
-5.746375571441537065e-03 8.432558466119309537e-03 1.325453997591081290e+01 2.163078635260733962e-01 2.535483080982611881e+00 5.484449282538549353e-01
9.633180641381589851e-04 8.432558466119309537e-03 1.325646661203908927e+01 2.169643380658500820e-01 2.540372743076383610e+00 5.511702906420954395e-01
1.027017519342844978e-02 8.432558466119309537e-03 1.327700696242594702e+01 2.176188322767369232e-01 2.593092476681402747e+00 5.643057567609985892e-01
5.185200965753030550e-03 8.432558466119309537e-03 1.328737736435745376e+01 2.182713639729880750e-01 2.620123808541073185e+00 5.718979974683602308e-01
2.639560813665950065e-02 8.432558466119309537e-03 1.334016858063077215e+01 2.189219507033653145e-01 2.762159463455923891e+00 6.046973378935317500e-01
-1.817574054926347424e-02 8.432558466119309537e-03 1.330381709953224600e+01 2.195706097566448023e-01 2.663553962057116031e+00 5.848381675686081804e-01
9.211408459555614839e-03 8.432558466119309537e-03 1.332223991645135719e+01 2.202173581669775448e-01 2.713078922974409668e+00 5.974670729159332616e-01
-3.867337534197952571e-03 8.432558466119309537e-03 1.331450524138296210e+01 2.208622127191089968e-01 2.692175085480223107e+00 5.945997464064184390e-01
7.332732582499180626e-03 8.432558466119309537e-03 1.332917070654796099e+01 2.215051899534614399e-01 2.731948016836813320e+00 6.051406644124206480e-01
6.961937425000903033e-03 8.432558466119309537e-03 1.334309458139796334e+01 2.221463061710842735e-01 2.770253379793148785e+00 6.154015554790097653e-01
-2.446971332209786631e-03 8.432558466119309537e-03 1.333820063873354300e+01 2.227855774384760179e-01 2.756729039253191793e+00 6.141594708514375167e-01
-6.936671308286447742e-03 8.432558466119309537e-03 1.332432729611696942e+01 2.234230195922821127e-01 2.718748063515327829e+00 6.074309018612642497e-01
3.636365077915731069e-03 8.432558466119309537e-03 1.333160002627280072e+01 2.240586482438724214e-01 2.738592859997701190e+00 6.136054143014053608e-01
2.480903853434612925e-03 8.432558466119309537e-03 1.333656183397967077e+01 2.246924787838022741e-01 2.752214998424583392e+00 6.184020101419781534e-01
4.723108756144320719e-04 8.432558466119309537e-03 1.333750645573089955e+01 2.253245263861604342e-01 2.754816028877713485e+00 6.207276169878740424e-01
-1.869105798342041505e-02 8.432558466119309537e-03 1.330012433976405894e+01 2.259548060128077629e-01 2.653736235554953193e+00 5.996244563139782047e-01
-1.645581778031098875e-04 8.432558466119309537e-03 1.329979522340845222e+01 2.265833324175096364e-01 2.652862991263737591e+00 6.010945370076203886e-01
-8.731546217621807479e-03 8.432558466119309537e-03 1.328233213097320942e+01 2.272101201499654721e-01 2.606937963234619016e+00 5.923226878500440495e-01
-7.923434233379721831e-03 8.432558466119309537e-03 1.326648526250644977e+01 2.278351835597386965e-01 2.565951769353822964e+00 5.846140923761645736e-01
-1.069768798629555824e-02 8.432558466119309537e-03 1.324508988653385799e+01 2.284585368000896510e-01 2.511635398095495741e+00 5.738045480242076612e-01
-1.108183561446946831e-02 8.432558466119309537e-03 1.322292621530491985e+01 2.290801938317147401e-01 2.456580697708527161e+00 5.627539823943183972e-01
2.642862795051245054e-03 8.432558466119309537e-03 1.322821194089502228e+01 2.297001684263946519e-01 2.469599886785190712e+00 5.672675099403634569e-01
9.381708706757661831e-03 8.432558466119309537e-03 1.324697535830853745e+01 2.303184741705540106e-01 2.516375482990778956e+00 5.795677616826271361e-01
2.855211734394731845e-04 8.432558466119309537e-03 1.324754640065541622e+01 2.309351244687352089e-01 2.517812850311959227e+00 5.814514239757732073e-01
1.632412504814454574e-02 8.432558466119309537e-03 1.328019465075170480e+01 2.315501325469892790e-01 2.601371635976022834e+00 6.023479471142263453e-01
1.325450025126422016e-02 8.432558466119309537e-03 1.330670365125423338e+01 2.321635114561855229e-01 2.671253555624233389e+00 6.201676054635429924e-01
