# freqs_THz  cepf_psd cepf_logpsd
# 
1.600448125475133043e+00 9.621891580579647562e+05 1.360113838674694087e+01
1.610450926259352711e+00 9.638702502066703746e+05 1.360288401574299399e+01
1.620453727043572156e+00 9.654341677619712427e+05 1.360450524034941822e+01
1.630456527827791824e+00 9.668799562067845836e+05 1.360600167273241112e+01
1.640459328612011491e+00 9.682068631930259289e+05 1.360737309150381513e+01
1.650462129396230937e+00 9.694143413185687969e+05 1.360861944272978086e+01
1.660464930180450605e+00 9.705020503779599676e+05 1.360974084072201684e+01
1.670467730964670272e+00 9.714698590777606005e+05 1.361073756861000739e+01
1.680470531748889718e+00 9.723178462096645962e+05 1.361161007869266015e+01
1.690473332533109385e+00 9.730463012773005757e+05 1.361235899256837278e+01
1.700476133317329053e+00 9.736557245748221176e+05 1.361298510104243498e+01
1.710478934101548276e+00 9.741468267186072189e+05 1.361348936381164165e+01
1.720481734885768166e+00 9.745205276349765481e+05 1.361387290892529656e+01
1.730484535669987611e+00 9.747779550104757072e+05 1.361413703202320846e+01
1.740487336454207057e+00 9.749204422127216822e+05 1.361428319535052367e+01
1.750490137238426946e+00 9.749495256930786418e+05 1.361431302655038600e+01
1.760492938022646614e+00 9.748669418842681916e+05 1.361422831723519344e+01
1.770495738806865837e+00 9.746746236082365504e+05 1.361403102133747112e+01
1.780498539591085505e+00 9.743746960124558536e+05 1.361372325324240151e+01
1.790501340375305395e+00 9.739694720537313260e+05 1.361330728570318627e+01
1.800504141159524840e+00 9.734614475514799124e+05 1.361278554754173342e+01
1.810506941943744286e+00 9.728532958336872980e+05 1.361216062113694569e+01
1.820509742727963953e+00 9.721478620003656251e+05 1.361143523970319968e+01
1.830512543512183399e+00 9.713481568308509886e+05 1.361061228436200032e+01
1.840515344296403288e+00 9.704573503625721205e+05 1.360969478101012520e+01
1.850518145080622734e+00 9.694787651696399553e+05 1.360868589698750064e+01
1.860520945864842179e+00 9.684158693710789084e+05 1.360758893754894316e+01
1.870523746649061847e+00 9.672722693984138314e+05 1.360640734214334557e+01
1.880526547433281737e+00 9.660517025536894798e+05 1.360514468050505243e+01
1.890529348217500960e+00 9.647580293884439161e+05 1.360380464856153182e+01
1.900532149001720628e+00 9.633952259351531975e+05 1.360239106416261556e+01
1.910534949785940295e+00 9.619673758215960115e+05 1.360090786263578266e+01
1.920537750570159963e+00 9.604786622994428035e+05 1.359935909217334782e+01
1.930540551354379408e+00 9.589333602168861544e+05 1.359774890905653599e+01
1.940543352138599076e+00 9.573358279654344078e+05 1.359608157272258033e+01
1.950546152922818521e+00 9.556904994296309305e+05 1.359436144068055619e+01
1.960548953707038189e+00 9.540018759678262286e+05 1.359259296328214539e+01
1.970551754491257634e+00 9.522745184511374682e+05 1.359078067835376835e+01
1.980554555275477302e+00 9.505130393864033977e+05 1.358892920569654272e+01
1.990557356059696970e+00 9.487220951479057549e+05 1.358704324146096454e+01
2.000560156843916637e+00 9.469063783407630399e+05 1.358512755240287895e+01
2.010562957628136083e+00 9.450706103182676015e+05 1.358318697002835407e+01
2.020565758412355528e+00 9.432195338728938950e+05 1.358122638463419385e+01
2.030568559196575418e+00 9.413579061198069248e+05 1.357925073925173010e+01
2.040571359980794863e+00 9.394904915898784529e+05 1.357726502350152487e+01
2.050574160765013865e+00 9.376220555471129483e+05 1.357527426736632847e+01
